organismo,proveedor,monto,fecha_licitacion,fecha_adjudicacion,objeto_licitacion,estado,dias_adjudicacion
HOSPITAL ESPAÑOL,MARTINEZ CHAVARRIA MIGUEL ANTONIO,952000.0,,2025-02-05,R/080240270019,ACTIVE,
SECRETARÍA NACIONAL DEL DEPORTE,CEDIMPE SRL,85691.0,,2025-10-22,R/218006550016,ACTIVE,
ADMINISTRACIÓN DE LAS OBRAS SANITARIAS DEL ESTADO,LUBINFOX S.A.,7114212.0,,2025-05-09,R/217298070011,ACTIVE,
INTENDENCIA DE CANELONES,INTELCON SAS,100000.0,,2025-05-29,R/020608780019,ACTIVE,
COMANDO GENERAL DE LA ARMADA,BARBADOS S A,1686540.0,,2025-12-26,R/040099750014,ACTIVE,
DIRECCIÓN GENERAL DE SERVICIOS GANADEROS,V.K.O LTDA,1733033.0,,2025-12-10,R/110412840018,ACTIVE,
"ADMINISTRACIÓN NACIONAL DE COMBUSTIBLE, ALCOHOL Y PORTLAND",SEALTEC PLC S A,1350512.0,,2025-05-28,R/215288910010,ACTIVE,
CONSEJO DE EDUCACIÓN TÉCNICO-PROFESIONAL,ALIETTE FERNANDEZ NOEL IGNACIO,714362295.0,,2025-07-09,R/218202450010,ACTIVE,
PODER JUDICIAL,BRAGA FERNANDEZ GERARDO,1140000.0,,2025-02-27,R/214098570016,ACTIVE,
CONSEJO DIRECTIVO CENTRAL,MENASOL SOCIEDAD ANONIMA,122800.0,,2025-09-16,R/216577410015,ACTIVE,
CONSEJO DE EDUCACIÓN INICIAL Y PRIMARIA,DEULAN SOCIEDAD ANONIMA,12807459.0,,2025-02-07,R/216863240010,ACTIVE,
FACULTAD DE VETERINARIA,METAL SERO SAS,17618000.0,,2024-12-23,R/218771980014,ACTIVE,
CENTRO AUXILIAR DE PANDO,BIOERIX SA,307325902.0,,2025-04-21,R/213168300014,ACTIVE,
BANCO DE SEGUROS DEL ESTADO,ALEJANDRO CESAR MARTINEZ COLLAZO,,,2024-12-07,C/18484781,ACTIVE,
DIRECCIÓN NACIONAL AVIACIÓN CIVIL E INFRAESTRUCTURA AERONÁUT,REY Y GUARNIERI LIMITADA,12832524588.0,,2025-07-23,R/214827840015,ACTIVE,
CENTRO HOSPITALARIO PEREIRA ROSSELL,ALSARA ASOCIADOS S.R.L.,247926462.0,,2025-01-20,R/215082180017,ACTIVE,
HOSPITAL DEL CERRO,ULTRASONOGRAFIA DIAGNOSTICA SAS,1915380.0,,2025-08-28,R/219696300013,ACTIVE,
DIRECCIÓN GENERAL DE REGISTROS,MIRLA S.R.L.,2988000.0,,2024-10-23,R/180208440016,ACTIVE,
JEFATURA DE POLICÍA DE PAYSANDÚ,MENESES MATTIAUDA RICARDO MARIA,46000.0,,2025-08-29,R/120179330013,ACTIVE,
HOSPITAL MACIEL,ASOCIACION ESPAÑOLA PRIMERA DE SOCORROS MUTUOS,2382800.0,,2025-12-18,R/212567060019,ACTIVE,
DIRECCIÓN GENERAL DE SECRETARÍA,NEXO GROUP S.R.L.,58000.0,,2025-09-26,R/140134360015,ACTIVE,
CONSEJO DE EDUCACIÓN TÉCNICO-PROFESIONAL,FIERRO VIGNOLI S A FIVISA,9239672.0,,2025-05-21,R/210000400017,ACTIVE,
HOSPITAL MACIEL,ALONSO BRUSCIANI MARTIN ENRIQUE,102000.0,,2025-04-28,R/020529560016,ACTIVE,
JEFATURA DE POLICÍA DE COLONIA,VALLEJO BERNARDI MARIANELA,4120481.0,,2025-11-20,R/040574460011,ACTIVE,
JUNTA DEPARTAMENTAL DE TREINTA Y TRES,SELLANES FERRADA SERGIO ARIEL,45970428.0,,2025-10-28,R/200180850019,ACTIVE,
MINISTERIO DE RELACIONES EXTERIORES,MICROMECANICA S.A.,1.0076e+16,,2025-05-23,R/210558690017,ACTIVE,
ADMINISTRACIÓN DE LAS OBRAS SANITARIAS DEL ESTADO,MARBUS SA,164151000.0,,2024-09-09,R/215085280012,ACTIVE,
HOSPITAL ESPAÑOL,COOPERATIVA SOCIAL DE TRABAJADORES UNIDOS,8086000.0,,2025-07-11,R/216357240013,ACTIVE,
CENTRO AUX. DE CARDONA Y FLORENCIO SÁNCHEZ,CASTILLO TUYA GLADYS ETHEL,1880000.0,,2025-09-01,R/150627260015,ACTIVE,
CENTRO AUXILIAR DE BELLA UNIÓN,COSTANTINO DI TOMMASO E HIJOS,199141579.0,,2025-12-19,R/010009960012,ACTIVE,
DIRECCIÓN NACIONAL DE TURISMO,ANLUX SOCIEDAD ANONIMA,13950.0,,2025-06-02,R/215368460011,ACTIVE,
OFICINA NACIONAL DEL SERVICIO CIVIL,KELTEN S.A.,230844.0,,2025-05-12,R/215429350016,ACTIVE,
DIRECCIÓN GENERAL IMPOSITIVA,CANALE HERNANDEZ GIAANA Y CANALE HERNANDEZ SEBASTIAN ALEJANDRO,255000.0,,2025-11-20,R/217972550019,ACTIVE,
RED DE ATENCIÓN PRIMARIA DE SALTO,LAIKEN CARGO LTDA,14163934.0,,2025-02-12,R/212341750014,ACTIVE,
JEFATURA DE POLICÍA DE TACUAREMBÓ,ARAUJO TEXEIRA ORLANDO FABRICIO Y FARIAS VIERA GOMEZ CINTHIA YISELA,554508.0,,2025-09-04,R/190202230017,ACTIVE,
ADMINSTRACIÓN NACIONAL DE CORREOS,SARRAUTE ESPINOSA ALVARO PEDRO,246430.0,,2025-02-18,R/215310570019,ACTIVE,
BANCO DE LA REPÚBLICA DEL URUGUAY,DIBARIL SOCIEDAD ANONIMA,1540779.0,,2025-10-30,R/214783680018,ACTIVE,
HOSPITAL DE SAN CARLOS,DISTRIBUIDORA MANANTIALES SOCIEDAD ANONIMA,1143568.0,,2025-10-21,R/215358840016,ACTIVE,
HOSPITAL DE SAN CARLOS,SOTO MILL WILMER ARIEL,115000.0,,2025-09-04,R/100354070017,ACTIVE,
FACULTAD DE PSICOLOGÍA,GUARISE GONZALEZ MAURICIO FABIAN,2451300.0,,2024-04-11,R/217770500010,ACTIVE,
JUNTA DEPARTAMENTAL DE MONTEVIDEO,VELO CASTRO RAUL SEBASTIAN,1343160.0,,2025-11-28,R/214694540016,ACTIVE,
DIRECCIÓN GENERAL DE SECRETARÍA,TILCAT S A,663957.0,,2025-03-20,R/215145650015,ACTIVE,
ADMINISTRACIÓN DE LAS OBRAS SANITARIAS DEL ESTADO,,,2025-09-03,,COMPRA DIRECTA 85103/2025,,
CONSEJO DE EDUCACIÓN TÉCNICO-PROFESIONAL,SILVA CONSTRUCCIONES SAS,820000.0,,2025-05-26,R/120390490017,ACTIVE,
INSTITUTO DEL NIÑO Y ADOLESCENTE DEL URUGUAY INAU,BARBADOS S A,1520100.0,,2025-07-31,R/040099750014,ACTIVE,
INTENDENCIA DE CANELONES,ECOVIVA SAS,1680000.0,,2025-12-26,R/220446670011,ACTIVE,
INTENDENCIA DE MONTEVIDEO,CARDOZO CARDOZO ROSARIO ISABEL Y CERDEIRO RAMOS ANDRES FABIAN,5965000.0,,2025-09-24,R/219349320016,ACTIVE,
CENTRO DEPARTAMENTAL DE CANELONES,LAZAR S A,14200.0,,2025-03-21,R/210146070011,ACTIVE,
UNIVERSIDAD TECNOLÓGICA DEL URUGUAY,GAZANTA PROJECT S.L,286000.0,,2025-02-18,X/ESPB02998136,ACTIVE,
CENTRO DEPARTAMENTAL DE CANELONES,SOFIA S R L,384000.0,,2025-04-03,R/020112590017,ACTIVE,
BANCO DE LA REPÚBLICA DEL URUGUAY,ALTESOR SERENA JOAQUIN,688000.0,,2025-11-03,R/219616000018,ACTIVE,
CENTRO AUXILIAR DE PANDO,MACCARE S.R.L.,11434426.0,,2025-11-10,R/110303860018,ACTIVE,
CENTRO DEPARTAMENTAL DE CANELONES,SPEFAR S A,55400.0,,2025-01-22,R/210156430010,ACTIVE,
INTENDENCIA DE CANELONES,ALFONSO ALONZO KARINA JUDITH Y CARDOZO ALFONSO YULIANA,56516739.0,,2025-10-10,R/150804800017,ACTIVE,
DESPACHO DE LA SECRETARÍA ESTADO Y OFICINAS DEPENDIENTES,TOLEDO TERMOMECANICA SAS,8560000.0,,2025-06-13,R/219464600018,ACTIVE,
CONSEJO DIRECTIVO CENTRAL,SAAVEDRA AVILA HECTOR CARLOS,13934430.0,,2025-05-06,R/180134230013,ACTIVE,
CENTRO AUXILIAR DE GUICHÓN,NIPRO MEDICAL CORPORATION - SUCURSAL URUGUAY,5060.0,,2025-05-02,R/216155020012,ACTIVE,
INTENDENCIA DE MONTEVIDEO,SANSEI SAS,800000.0,,2025-02-20,R/219311090013,ACTIVE,
CENTRO DEPARTAMENTAL DE MALDONADO,REPACAR S R L,120500.0,,2025-09-05,R/212761210012,ACTIVE,
CENTRO DEPARTAMENTAL DE FLORES,ASOCIACION MEDICA DE SAN JOSE IAMPP,139372727.0,,2025-06-24,R/170114500018,ACTIVE,
BANCO DE SEGUROS DEL ESTADO,TRABAL LUISI MARIA INES,130000.0,,2025-05-28,R/213661080018,ACTIVE,
BANCO DE PREVISIÓN SOCIAL,BERGANTIÑOS S EN C POR A,14754116.0,,2025-10-01,R/210320620018,ACTIVE,
PODER JUDICIAL,LOPEZ VICTOR OSIRIS,214344262.0,,2025-04-28,R/160207300011,ACTIVE,
CENTRO AUXILIAR DE RÍO BRANCO,POLEVAN SOCIEDAD ANONIMA,227795082.0,,2025-09-15,R/214841330010,ACTIVE,
LABORATORIO QUÍMICO INDUSTRIAL FRANCISCO DORREGO,CORONATO MONTAJES E INSTALACIONES SAS,1101660.0,,2025-10-15,R/219339770019,ACTIVE,
PODER JUDICIAL,GIAN FRANCO MAINENTI PIRIZ SAS,28846040.0,,2025-05-30,R/218929640018,ACTIVE,
ADMINISTRACIÓN NACIONAL DE PUERTOS,P & C LTDA.,2782784.0,,2025-01-21,R/213394980012,ACTIVE,
INTENDENCIA DE MONTEVIDEO,GIZ FERNANDEZ MATIAS ALVARO,3.3442619999999996e+16,,2025-04-28,R/218267520013,ACTIVE,
INTENDENCIA DE MONTEVIDEO,MASTROPIERRO FERRARI ALEJANDRO,335000.0,,2025-06-23,R/217394840019,ACTIVE,
UNIVERSIDAD TECNOLÓGICA DEL URUGUAY,AIR LIQUIDE URUGUAY S.A.,1.3246195999999996e+16,,2025-06-16,R/210058770011,ACTIVE,
COMANDO GENERAL DE LA FUERZA AÉREA,SUADERE S.R.L,3500.0,,2025-05-13,R/217503670011,ACTIVE,
JUNTA NACIONAL DE SALUD,DATOS ABIERTOS TRANSPARENCIA Y ACCESO A LA INFORMACION D.A.T.A.,9035940.0,,2025-06-09,R/217159460015,ACTIVE,
MINISTERIO DE RELACIONES EXTERIORES,INSTITUTO DE CULTURA URUGUAYO BRASILEÑO I C U B,49320696.0,,2025-02-24,R/214161160010,ACTIVE,
DIRECCIÓN NACIONAL DE SANIDAD POLICIAL,CAZENAVE LOPEZ MIRTA LILIAN,480000.0,,2025-06-17,R/215439210012,ACTIVE,
DIRECCIÓN GENERAL DE SECRETARÍA,FERNANDEZ RODRIGUEZ GUSTAVO MARCELO,666886.0,,2025-08-21,R/215055630015,ACTIVE,
INTENDENCIA DE MONTEVIDEO,GRIMIFER S.A.,7008.0,,2025-09-10,R/215764930010,ACTIVE,
DIRECCIÓN GENERAL DE SECRETARÍA DE ESTADO,ARCO ARQUITECTURA Y CONSTRUCCION S.A.S.,425000.0,,2024-12-03,R/120347140018,ACTIVE,
DIRECCIÓN GENERAL DE SECRETARÍA DE ESTADO,BETTER BENADERET DANIEL ALBERTO,1581966.0,,2025-11-03,R/213921200018,ACTIVE,
UNIVERSIDAD TECNOLÓGICA DEL URUGUAY,BTS S.P.A.,2.700001e+16,,2025-05-06,X/ITA12794130158,ACTIVE,
CENTRO HOSPITALARIO PEREIRA ROSSELL,APITER S.A.,1097091.0,,2025-11-21,R/210774960019,ACTIVE,
BANCO DE LA REPÚBLICA DEL URUGUAY,BARBATO GULARTE DANNY RAMON,162000.0,,2025-02-27,R/120164620010,ACTIVE,
COMISIÓN ADMINISTRATIVA DEL PODER LEGISLATIVO,ALTIX S A,930000.0,,2025-01-23,R/211471430011,ACTIVE,
COMANDO GENERAL DE LA ARMADA,DALSICAR SOCIEDAD ANONIMA,813595.0,,2025-07-21,R/215433030012,ACTIVE,
PODER JUDICIAL,FONTANA ESMERALDA S A,463000.0,,2025-05-26,R/213103770016,ACTIVE,
DIRECCIÓN GENERAL DE COORDINACIÓN,SAVAGE S A,1138636.0,,2025-12-15,R/213077080011,ACTIVE,
RED DE ATENCIÓN PRIMARIA DE RIVERA,ICU VITA S A,9800.0,,2025-10-27,R/210169240010,ACTIVE,
CONSEJO DE EDUCACIÓN INICIAL Y PRIMARIA,MARTINEZ BELTRAME JUAN ANTONIO,83950.0,,2025-03-07,R/050041160017,ACTIVE,
DIRECCIÓN NACIONAL DE VIALIDAD,RODRIGUEZ PEREZ MARIA CECILIA,11708880.0,,2025-01-20,R/219751260014,ACTIVE,
ADMINISTRACIÓN DE LAS OBRAS SANITARIAS DEL ESTADO,CP Y AP S.A.S.,5925768430000001.0,,2024-11-05,R/218857800014,ACTIVE,
DIRECCIÓN NACIONAL DE SANIDAD POLICIAL,LIMITE ZERO S.R.L.,400160.0,,2025-08-26,R/218399400015,ACTIVE,
RED DE ATENCIÓN PRIMARIA DE TREINTA Y TRES,CARDOZO CARABALLO JORGE LUIS,1512916362.0,,2025-09-01,R/090215590010,ACTIVE,
INTENDENCIA DE MONTEVIDEO,ROSANO MONTES DE OCA NOELIA NATALY,538665165.0,,2025-02-17,R/217869780015,ACTIVE,
INTENDENCIA DE MONTEVIDEO,BORBA GASCO MELANIE LUCIA Y MOREIRA OPIZO KEVYN KERRY,5965000.0,,2025-01-08,R/219517340015,ACTIVE,
HOSPITAL ESPAÑOL,APITER S.A.,729900.0,,2025-11-12,R/210774960019,ACTIVE,
BANCO DE LA REPÚBLICA DEL URUGUAY,CTRO.DE EST.REALIDAD ECON.Y SOCIAL(CERES,1526400.0,,2025-10-09,R/215720140014,ACTIVE,
HOSPITAL ESPECIALIZADO DE OJOS,GSJ LTDA,54000.0,,2025-05-27,R/217208880019,ACTIVE,
CENTRO DEPARTAMENTAL DE FLORES,RIPOLL VET SOCIEDAD ANONIMA,2005335.0,,2025-12-04,R/215177360012,ACTIVE,
JUNTA DEPARTAMENTAL DE TREINTA Y TRES,ROMERO CUADRADO JOSE RAUL,340001.0,,2025-02-06,R/200081520010,ACTIVE,
DIRECCIÓN NACIONAL DE BOMBEROS,KEPLER SOFTWARE S.A,4739040.0,,2024-12-24,R/214592090011,ACTIVE,
DIRECCIÓN NACIONAL DE SANIDAD DE LAS FUERZAS ARMADAS,RAMIREZ SAN MARTIN MIGUEL ANGEL,6290000.0,,2024-12-17,R/217338880019,ACTIVE,
DIRECCIÓN NACIONAL DE VIALIDAD,LORENZO SARASUA FRANCISCO DANIEL,4440.0,,2025-06-24,R/217819330016,ACTIVE,
ADMINISTRACIÓN NACIONAL DE USINAS Y TRASMISIONES ELÉCTRICAS,COLORANTES Y PIGMENTOS S.A.,1496000.0,,2025-09-10,R/211607590015,ACTIVE,
INTENDENCIA DE FLORIDA,CIELO AZUL CEMENTOS Y CALIZAS S.A,7862607899999999.0,,2025-04-29,R/216710780019,ACTIVE,
INTENDENCIA DE CANELONES,TERAN BRUSCHI CARLA YANELLA,2800000.0,,2025-10-27,R/020357840016,ACTIVE,
FACULTAD DE AGRONOMÍA,COLORFLEX S A,60000.0,,2025-10-09,R/212998480017,ACTIVE,
CENTRO HOSPITALARIO PEREIRA ROSSELL,OZOX SRL,86400.0,,2025-04-02,R/214894010010,ACTIVE,
CONSEJO DE EDUCACIÓN TÉCNICO-PROFESIONAL,MONDELAN SOCIEDAD ANONIMA,7487996800000001.0,,2024-12-20,R/215144180015,ACTIVE,
DIRECCIÓN NACIONAL DE MIGRACIÓN,SOLER FARIÑA VIRGINIA DANIELA,384000.0,,2025-01-27,R/218181660011,ACTIVE,
JEFATURA DE POLICÍA DE COLONIA,ALEN HALLER SAS,519016.0,,2025-06-06,R/040544020013,ACTIVE,
INSTITUTO NACIONAL DE REHABILITACIÓN,SPEZIAL S A,585548.0,,2025-04-01,R/212621670010,ACTIVE,
INSTITUTO DEL NIÑO Y ADOLESCENTE DEL URUGUAY INAU,DIAZ MARIA DEL CARMEN,4606128.0,,2025-05-22,R/010157740010,ACTIVE,
UNIVERSIDAD TECNOLÓGICA DEL URUGUAY,MINAS SEGUR SOCIEDAD RESPONSABILIDAD LIMITADA,14760000.0,,2025-09-30,R/090222820018,ACTIVE,
INSTITUTO DEL NIÑO Y ADOLESCENTE DEL URUGUAY INAU,ESPLEND S.A.,2934426.0,,2025-04-24,R/120075950015,ACTIVE,
CENTRO AUXILIAR DE GUICHÓN,,,2025-07-29,,COMPRA DIRECTA 13431/2025,,
DIRECCIÓN NACIONAL DE CULTURA,CYV URUGUAY SAS,7352460000000001.0,,2025-04-01,R/219289990010,ACTIVE,
CENTRO AUXILIAR DE PANDO,A. BERTOLOTTI S.A.,10655738.0,,2025-05-14,R/215092230017,ACTIVE,
COMISIÓN ADMINISTRATIVA DEL PODER LEGISLATIVO,CHAMPAGNE S A,62295072.0,,2025-07-10,R/214535020018,ACTIVE,
DIRECCIÓN GENERAL DE SECRETARÍA,GRAUER SAPIRO MARCELO,56000.0,,2025-12-16,R/213045360019,ACTIVE,
INTENDENCIA DE MONTEVIDEO,BLANCO SADI DEBORAH,6704950.0,,2025-03-21,R/218959380014,ACTIVE,
HOSPITAL -CENTRO GERIÁTRICO DR. LUIS PIÑEIRO DEL CAMPO,LABORATORIOS RIXDAL S.A.,315200.0,,2025-08-22,R/213335340010,ACTIVE,
DIRECCIÓN GENERAL DE RECURSOS NATURALES RENOVABLES,VALVERDE RODRIGUEZ WALTER JACINTO,1.195003e+16,,2025-08-11,R/170103700010,ACTIVE,
HOSPITAL DE SAN CARLOS,PLAZA PAPEL SAS,3000.0,,2025-09-05,R/100091670019,ACTIVE,
"ADMINISTRACIÓN NACIONAL DE COMBUSTIBLE, ALCOHOL Y PORTLAND",VZ CERAMICAS SAS,2550000.0,,2025-06-06,R/220230440018,ACTIVE,
INTENDENCIA DE MONTEVIDEO,COSTA SANCHEZ KAREN MITSUMI,3200000.0,,2025-09-26,R/219320990013,ACTIVE,
CENTRO AUXILIAR DE RÍO BRANCO,HERA NUCLEAR SRL,405672727.0,,2025-03-25,R/215291880011,ACTIVE,
ESTADO MAYOR DE LA DEFENSA,MAV CONSTRUCCIONES SAS,9319688.0,,2025-07-11,R/219817130016,ACTIVE,
HOSPITAL DE SAN CARLOS,AIRMAX SRL,18120.0,,2025-10-07,R/214401760017,ACTIVE,
PODER JUDICIAL,BURGUEÑO GIMENEZ AGUSTIN,2000000.0,,2025-02-12,R/217867670018,ACTIVE,
DIRECCIÓN NACIONAL DE CULTURA,VAZQUEZ ALEJANDRO MARTIN,330000.0,,2025-12-09,R/215025300017,ACTIVE,
HOSPITAL MACIEL,BIOERIX SA,19419372.0,,2025-06-05,R/213168300014,ACTIVE,
HOSPITAL DR. GUSTAVO SAINT BOIS,GUNTER SCHAAF SOCIEDAD ANONIMA,176000.0,,2025-09-11,R/211371480017,ACTIVE,
CONSEJO DE EDUCACIÓN INICIAL Y PRIMARIA,TILSOR S A,26520.0,,2025-11-03,R/212161810019,ACTIVE,
HOSPITAL MACIEL,GUNTER SCHAAF SOCIEDAD ANONIMA,531150.0,,2025-01-17,R/211371480017,ACTIVE,
INSTITUTO DEL NIÑO Y ADOLESCENTE DEL URUGUAY INAU,BUTTERI RADESCA FEDERICO,245904.0,,2025-07-24,R/120330180011,ACTIVE,
INTENDENCIA DE CANELONES,LOPEZ NUÑEZ FELIX DANIEL,59016396.0,,2025-09-23,R/110108150015,ACTIVE,
CENTRO DEPARTAMENTAL DE MALDONADO,NAFECOR S A,283800.0,,2025-01-21,R/215158830017,ACTIVE,
JEFATURA DE POLICÍA DE TACUAREMBÓ,GUMEPLAST SAS,22131.0,,2025-01-30,R/216838170012,ACTIVE,
INSTITUTO NACIONAL DE COLONIZACIÓN,TRIAS DIAZ ALBERTO MICHEL,,,2025-11-26,R/110227770017,ACTIVE,
DIRECCIÓN NACIONAL DE ZONAS FRANCAS,CONEBAN SOCIEDAD ANONIMA,96047376.0,,2025-09-30,R/214949340017,ACTIVE,
INTENDENCIA DE MONTEVIDEO,CAJA AUXILIO VENDEDORES DE DIARIOS Y REVISTAS,8729508.0,,2025-05-05,R/215730520014,ACTIVE,
BANCO DE SEGUROS DEL ESTADO,MEDIZA LINARES RAFAEL MIGUEL,23700.0,,2025-08-04,R/214883830011,ACTIVE,
ADMINISTRACIÓN DE LAS OBRAS SANITARIAS DEL ESTADO,GUTIERREZ LUQUE JUAN JOSE DE LOS ANGELES,4624925.0,,2025-05-23,R/180158710015,ACTIVE,
"ADMINISTRACIÓN NACIONAL DE COMBUSTIBLE, ALCOHOL Y PORTLAND",HONEYWELL URUGUAY S.R.L.,411210.0,,2025-06-25,R/216332560014,ACTIVE,
CENTRO AUXILIAR DE PANDO,MIRANDA BELLOMO LAURA BEATRIZ,63286867.0,,2025-09-17,R/110395480012,ACTIVE,
BANCO DE LA REPÚBLICA DEL URUGUAY,AURALDIC S.R.L.,1140000.0,,2025-10-13,R/218328190018,ACTIVE,
CENTRO UNIVERSITARIO REGIONAL LITORAL NORTE,"RAIMONDO AONSO MARTIN EDUARDO, RAIMONDO AONSO MARIA CAROLINA Y OTROS",395500.0,,2024-11-19,R/219324500010,ACTIVE,
UNIVERSIDAD TECNOLÓGICA DEL URUGUAY,SENPAI ACADEMY S.A.S.,179880.0,,2025-10-02,R/217632420011,ACTIVE,
CENTRO AUXILIAR DE BELLA UNIÓN,EMI SOCIEDAD POR ACCIONES SIMPLIFICADAS,183436364.0,,2025-01-14,R/160151980012,ACTIVE,
CONSEJO DE EDUCACIÓN INICIAL Y PRIMARIA,VILA VORMITTAG ANDRES ANTONIO Y CESTINO FERNANDEZ RICARDO HÉCTOR SUCESIÓN DE,58000.0,,2025-07-31,R/214800200015,ACTIVE,
FISCALIA GENERAL DE LA NACIÓN,CERVINI SRL,1191273.0,,2025-12-26,R/020244020013,ACTIVE,
CENTRO DEPARTAMENTAL DE ROCHA,PEREYRA GONZALEZ ROBERT ALEJANDRO,49452416914.0,,2025-03-10,R/150161410017,ACTIVE,
COMISIÓN ADMINISTRATIVA DEL PODER LEGISLATIVO,ALFONSO HERNANDEZ RICHARD ADRIAN,2040000.0,,2025-11-27,R/215392320011,ACTIVE,
INTENDENCIA DE MONTEVIDEO,PEREIRA DE LEON KAREN VIRGINIA,293997492.0,,2022-05-23,R/216313140013,ACTIVE,
ADMINISTRACIÓN NACIONAL DE PUERTOS,LATIMAR S A,3396965.0,,2025-09-08,R/211425800014,ACTIVE,
JEFATURA DE POLICÍA DE TACUAREMBÓ,SYLGOT SAS,32008196.0,,2025-12-03,R/220092090017,ACTIVE,
UNIVERSIDAD TECNOLÓGICA DEL URUGUAY,BRUFAU BACHIN CARLA GIOVANA,94262165.0,,2025-02-12,R/216749950012,ACTIVE,
CENTRO DEPARTAMENTAL DE CERRO LARGO,,,,,,UNSUCCESSFUL,
CONSEJO DE EDUCACIÓN INICIAL Y PRIMARIA,GLI S.A.,552276.0,,2025-11-03,R/211437120013,ACTIVE,
ADMINISTRACIÓN NACIONAL DE PUERTOS,DIRECCIÓN GENERAL DE EDUCACIÓN SECUNDARIA,7500000.0,,2022-09-14,R/215926810015,ACTIVE,
JEFATURA DE POLICÍA DE RIVERA,CENTRO S R L,137082.0,,2025-04-03,R/140071120012,ACTIVE,
INSTITUTO NACIONAL DE ESTADÍSTICA,SUMA URUGUAY SRL.,1320000.0,,2025-09-19,R/217367460014,ACTIVE,
ADMINISTRACIÓN NACIONAL DE PUERTOS,PAPELERIA ALDO S A,358020.0,,2025-01-16,R/210003030016,ACTIVE,
RED DE ATENCIÓN PRIMARIA DE SALTO,DELMITA S.A.,1901639.0,,2025-11-06,R/211372450014,ACTIVE,
DIRECCIÓN GENERAL DE LA SALUD,CENTRO URUGUAYO DE IMAGENOLOGIA MOLECULAR,523260.0,,2025-08-06,R/216137350014,ACTIVE,
INSTITUTO NACIONAL DE ALIMENTACIÓN,DEMARCO NUÑEZ OLGA ALEJANDRA,490000.0,,2025-08-14,R/219554750019,ACTIVE,
BANCO DE PREVISIÓN SOCIAL,NEXOMA SAS,428560.0,,2025-03-19,R/219598350016,ACTIVE,
UNIVERSIDAD TECNOLÓGICA DEL URUGUAY,SOBRINO RODRIGUEZ GERMAN Y MARTINEZ VILLALBA XIMENA SOLEDAD,,,2025-07-22,R/130144970013,ACTIVE,
DIRECCIÓN NACIONAL DE TURISMO,ARABELLA AGENCIA DE PUBLICIDADE LTDA,200000.0,,2025-04-04,X/BRA20.086.728/0001-95,ACTIVE,
MINISTERIO DE RELACIONES EXTERIORES,MITRAN S.A.,3.1475370000000004e+16,,2024-12-27,R/211618250016,ACTIVE,
INTENDENCIA DE PAYSANDÚ,E SOLER Y CIA SA,23310000.0,,2025-05-26,R/215410190013,ACTIVE,
INTENDENCIA DE CANELONES,SIGNORELLI POPPOLO SIMON,4.204917930000001e+16,,2025-08-01,R/217062310019,ACTIVE,
INTENDENCIA DE MONTEVIDEO,LLANES GUERRERO ERNESTO DARIO,4378275.0,,2022-09-16,R/219082860010,ACTIVE,
FACULTAD DE CIENCIAS SOCIALES,OSORIO ROCHA RICHARD LADISLAO,1134600.0,,2025-11-20,R/217344410010,ACTIVE,
ADMINISTRACIÓN NACIONAL DE PUERTOS,ALVAREZ Y FERROU LTDA,311000.0,,2025-10-10,R/210304760013,ACTIVE,
RED DE ATENCIÓN PRIMARIA DE ROCHA,ABRILEY S.A.,1582377.0,,2025-08-27,R/216247770018,ACTIVE,
DIRECCIÓN NACIONAL DE VIALIDAD,FIERRO VIGNOLI S A FIVISA,1404880.0,,2025-07-09,R/210000400017,ACTIVE,
DIRECCIÓN NACIONAL DE TURISMO,JCDECAUX URUGUAY,1.2295311474e+16,,2025-10-06,R/214332110012,ACTIVE,
DIRECCIÓN NACIONAL DE VIALIDAD,CIMA CLARA SA,9786000.0,,2024-10-09,R/216194930016,ACTIVE,
INTENDENCIA DE MONTEVIDEO,LIEPSI S A,20000.0,,2025-12-18,R/211546880019,ACTIVE,
COMANDO GENERAL DE LA ARMADA,OTERO GONZALEZ ALVARO ROGELIO,122950819.0,,2025-11-12,R/215106780019,ACTIVE,
ADMINISTRACIÓN NACIONAL DE PUERTOS,CHAVEZ BARRAGAN ROLANDO ARIEL,7314360.0,,2024-05-15,R/216912090013,ACTIVE,
ADMINISTRACIÓN DE SERVICIOS DE SALUD DEL ESTADO,CLADEVINA S A,248344632.0,,2024-05-08,R/213257280019,ACTIVE,
BANCO DE PREVISIÓN SOCIAL,CAMS-INSTITUCION DE ASISTENCIA MEDICA PRIVADA DE PROFESIONALES,378000.0,,2025-01-09,R/180115950014,ACTIVE,
JEFATURA DE POLICÍA DE MONTEVIDEO,JOLICAR S.A.,333244.0,,2025-05-14,R/213235410017,ACTIVE,
ADMINISTRACIÓN NACIONAL DE PUERTOS,"""COOPERATIVA DE TRABAJO ODONTOLOGICA DE PAYSANDU""",9504240.0,,2025-10-23,R/120186970014,ACTIVE,
COMANDO GENERAL DE LA ARMADA,HARBOR S A,507472563.0,,2025-07-03,R/210161290019,ACTIVE,
OFICINAS CENTRALES Y ESCUELAS DEPENDIENTES DE RECTORADO,ACRA S R L CONSTRUCCIONES,4563290.0,,2025-11-14,R/210838180019,ACTIVE,
UNIVERSIDAD TECNOLÓGICA DEL URUGUAY,RODRIGUEZ ACOSTA BEATRIZ MARLENE,1.6229508000000002e+16,,2025-05-02,R/212780360016,ACTIVE,
